Nome,Tipo,Senha
Maria Silva,Funcionário,012345
João Pereira,Funcionário,678910
Ana Souza,Funcionário,111213
José Santos,Cliente,141516
Mariana Oliveira,Cliente,171819
Pedro Rodrigues,Cliente,202122
Sofia Almeida,Cliente,232425
Isabela Fernandes,Funcionário,293031
Gabriel Gomes,Funcionário,323334
João Silva,Cliente,353637
Lucas Melo,Cliente,383940
Gabriel Castro,Cliente,414243
Enzo Martins,Cliente,444546
Pedro Lima,Cliente,474849
Thiago Souza,Cliente,505152
Thiago Ribeiro,Cliente,535455
Lucas Rodrigues,Cliente,565758
Bruno Rodrigues,Cliente,596061
Juliana Martins,Gerente,111111
